solution_id,source_id,transit_id,g_transit_time,g_transit_flux,g_transit_flux_error,g_transit_flux_over_error,g_transit_mag,bp_obs_time,bp_flux,bp_flux_error,bp_flux_over_error,bp_mag,rp_obs_time,rp_flux,rp_flux_error,rp_flux_over_error,rp_mag,variability_flag_g_reject,variability_flag_bp_reject,variability_flag_rp_reject,g_other_flags,bp_other_flags,rp_other_flags,rejected_by_photometry
375316653866487564,2027177220301507072,20281044909963045,1763.6162558853866,756.7448670955386,12.409113308024416,60.982994,18.489993157370062,1763.6165706893273,134225.22803931855,182.52198833204972,735.3921,12.518956839617461,1763.6166572506481,1991.1225224131945,26.210266644551876,75.96728,16.500150538968107,false,true,false,4097,1024,0,false
375316653866487564,2027177220301507072,20285137211135397,1763.6902579646815,772.3852368561185,7.511081835970224,102.832756,18.46778195653084,1763.6905730397275,3.08156858114762,15.880269582368873,0.19405015,24.116612622007036,1763.690658076546,2008.3064884910655,28.320712109310367,70.912994,16.490820522672358,false,true,false,1,0,0,false
375316653866487564,2027177220301507072,22077292621219160,1796.0983120444962,610.2325214110822,8.558478014189639,71.30152,18.723628494593385,1796.0986548070384,36.66987894353933,25.82613210260451,1.419875,21.427768525177346,1796.0987422821315,1627.2584112517106,27.351911651766336,59.49341,16.71925418846626,false,false,false,4194305,0,0,false
375316653866487564,2027177220301507072,22081384891084935,1796.1723424294544,625.360132507868,10.619929250634204,58.88553,18.697041389625724,1796.1726566194018,42.15938028227013,16.329776593940743,2.5817487,21.276306669843176,1796.1727461070636,1582.251585325313,25.001017719755893,63.287487,16.749706652442242,false,false,false,1,0,0,false
375316653866487564,2027177220301507072,23367141584982895,1819.423439880287,537.802078770741,11.288021497224397,47.64361,18.8608106756243,,,,,,,,,,,false,true,true,1,1024,2048,false
375316653866487564,2027177220301507072,26352545011373549,1873.4124520505068,365.55936991436164,8.749850913364574,41.778927,19.279972066814636,,,,,,1873.4128733026253,869.158533765054,28.713014579461685,30.270542,17.400148004624874,false,true,false,2097409,1024,0,false
375316653866487564,2027177220301507072,26362285941203454,1873.588636999094,372.60632392954926,6.472723704087139,57.565617,19.25924131322346,,,,,,1873.5890382078492,932.3316491754986,22.99062682403763,40.552685,17.32396943329003,false,true,false,1,1024,0,false
375316653866487564,2027177220301507072,26366378245019162,1873.6626670729538,361.0337920544315,14.088820692338725,25.625551,19.293497234757215,1873.6629605404812,9.939169109079074,32.73015548369989,0.30367008,22.845167015977392,1873.6630486069173,931.0862263316003,27.722466099795977,33.58598,17.325420745838834,false,false,false,4101,0,0,false
375316653866487564,2027177220301507072,26376118991217311,1873.8388065733066,362.882875973454,11.722723884558375,30.95551,19.28795067999111,1873.8391209579427,341.5826550269997,19.09085232983154,17.892477,19.004802691151042,1873.8392098219397,936.511757219008,23.634007744405785,39.625603,17.319112416168313,false,false,false,1,1024,0,false
375316653866487564,2027177220301507072,27399472510034456,1892.3462572535789,316.2356295088775,7.930435494710186,39.876198,19.437339868882837,,,,,,1892.3466605273925,827.8223114509741,21.236374946850685,38.98134,17.45305268285718,false,true,false,1,1024,0,false
375316653866487564,2027177220301507072,27403564764685145,1892.420266787441,319.8518532081839,7.905706313254194,40.45835,19.424994688693502,1892.4205811803456,2660.911872207642,36.89681058340352,72.11767,16.77596598775016,1892.4206700106504,794.4740739097845,23.494723686474916,33.815,17.49769617757189,false,false,false,1,1024,0,false
375316653866487564,2027177220301507072,27413305590157859,1892.5964322616637,316.3160619803785,5.519054930510655,57.313446,19.437063754067267,1892.5967472832097,26.861112843166424,13.757550871092546,1.9524633,21.765732212497838,1892.5968327632377,825.3980596819631,20.99719937671878,39.309914,17.45623689211035,false,false,false,1,0,0,false
375316653866487564,2027177220301507072,27417397936690110,1892.6704434750175,325.5431109440881,3.4314197658171786,94.87126,19.40584559366326,1892.6707585527108,21.500899730735647,18.473151113876284,1.1638999,22.007400631134256,1892.6708438269704,767.6336307391153,23.7125220588242,32.3725,17.53501051784704,false,false,false,1,0,0,false
375316653866487564,2027177220301507072,29555048678438572,1931.3309796761641,235.3564766726381,5.627754973399957,41.820667,19.75805148213498,,,,,,,,,,,false,true,true,1,1024,2048,false
375316653866487564,2027177220301507072,29559140963251484,1931.4047946330427,232.5983840541868,36.8901722539668,6.3051586,19.770850134053738,,,,,,1931.405395044183,564.5901740482311,19.227280592343686,29.364016,17.868562212278142,false,true,false,8324089,1024,0,false
375316653866487564,2027177220301507072,31489058363426090,1966.3088663531112,173.1092561094815,5.723218060779676,30.24684,20.091566141766307,,,,,,,,,,,false,true,true,4194305,1024,2048,false
375316653866487564,2027177220301507072,31493150653325905,1966.3829061309264,174.65441622190838,6.07989383849317,28.726557,20.081917938406026,,,,,,,,,,,false,true,true,1,1024,2048,false
